,Country/Region,Confirmed,Deaths,Recovered,Active,AvgTemp
140,Burkina Faso,1100,53,926,121,32.8
141,Cyprus,1060,19,852,189,17.1
142,Angola,950,41,242,667,28.2
143,Chad,922,75,810,37,33.5
144,Andorra,907,52,803,52,7.5
145,Togo,874,18,607,249,29.7
146,Sao Tome and Principe,865,14,734,117,
147,Jamaica,853,10,714,129,26.9
148,Botswana,739,2,63,674,21.0
149,Malta,701,9,665,27,15.6
150,San Marino,699,42,657,0,10.1
151,Syria,674,40,0,634,16.2
152,Tanzania,509,21,183,305,26.5
153,Lesotho,505,12,128,365,
154,Taiwan*,462,7,440,15,21.9
155,Vietnam,431,0,365,66,25.7
156,Guyana,389,20,181,188,27.0
157,Bahamas,382,11,91,280,23.4
158,Burundi,378,1,301,76,23.9
159,Comoros,354,7,328,19,
160,Burma,350,6,292,52,
161,Mauritius,344,10,332,2,21.2
162,Gambia,326,8,66,252,25.0
163,Mongolia,289,0,222,67,2.0
164,Eritrea,265,0,191,74,22.8
165,Cambodia,226,0,147,79,30.2
166,Trinidad and Tobago,148,8,128,12,
167,Brunei,141,3,138,0,
168,Monaco,116,4,104,8,13.8
169,Seychelles,114,0,39,75,
170,Barbados,110,7,94,9,26.8
171,Bhutan,99,0,86,13,
172,Antigua and Barbuda,86,3,65,18,26.3
173,Liechtenstein,86,1,81,4,9.9
174,Papua New Guinea,62,0,11,51,27.0
175,Saint Vincent and the Grenadines,52,0,39,13,
176,Belize,48,2,26,20,27.3
177,Fiji,27,0,18,9,26.6
178,Saint Lucia,24,0,22,2,
179,Timor-Leste,24,0,0,24,
180,Grenada,23,0,23,0,
181,Laos,20,0,19,1,28.5
182,Dominica,18,0,18,0,25.8
183,Saint Kitts and Nevis,17,0,15,2,
184,Greenland,14,0,13,1,-3.8
185,Holy See,12,0,12,0,
186,Western Sahara,10,1,8,1,
